"","Acteocina.sp.","Alia.carinata","Allorchestes.angusta","Alvania.compacta","Amphilochidae","Amphipholis.squamata","amphipod.A","amphipod.C","Angustassiminea.californica","Anisogammarus.pugettensis","Aoridae","Apolochus.barnardi","Arcuatula.senhousia","Armandia.brevis","Asteroidea","Bivalve","Brachyura","Cardiidae","Caridea","Cerithiidae","Crangon.franciscorum","Crepidula.sp.","Dorvilleidae","Elasmopus.sp.","Emprosthopharynx.gracilis","Erichsonella.crenulata","Ericthonius.brasiliensis","Eulalia.sp.","Flabelligeridae","Gammaropsis.sp.","gastropod.J","gastropod.S","gastropod.T","Gnorimosphaeroma.oregonense","Grandidierella.japonica","Granulina.margaritula","Haloa.japonica","Heptacarpus.sitchensis","Heptacarpus.sp.","hermit.crab","Heterophoxus.sp.","Hippolyte.sp.","Ianiropsis.analoga","Idotea.resecata","Idotea.sp.","Ischyroceridae","Ischyrocerus.anguipes","Joeropsis.sp.","juvenile.shrimp","Leptochelia.sp.","Lirularia.sp.","Lottia.pelta","Lumbrinereidae","Maera.jerrica","Maldanidae","Mayerella.acanthopoda","Megasyllis.nipponica","Melita.nitida","Metaphoxus.frequens","Mytilidae","Nasageneia.quinsana","Nebalia.sp.","Nemertean","Nereididae","Nereis.sp.","Nudibranchia","Oxydromus.pugettensis","Paracalliopiella.sp.","Paracerceis.cordata","Paracerceis.sculpta","Paracorophium.sp.","Paradexamine.sp.","Paramicrodeutopus.schmitti","Paranthura.elegans","Paranthura.japonica","Phoxocephalidae","Phyllaplysia.taylori","Platynereis.bicanaliculata","Pleocyemata","Protohyale.sp.","Pseudopolydora.paucibranchiata","Pugettia.producta","Pugettia.richii","Rissoidae","Tectura.depicta","Tellinidae","Terebellidae","Tubificida","unknown.amphipod","unknown.amphipod.B","unknown.polychaete.A","unknown.worm","Uromunna.ubiquita","worm.I","Zeuxo.normani","Zygonemertes.sp.","Ampithoe.spp","Aoroides.spp","Calliopius.spp","Cancer.spp","Caprella.spp","Exogone.spp","Haminoea.spp","Lacuna.spp","Monocorophium.spp","Pentidotea.spp","Photis.spp","Podocerus.spp","Polynoid.spp","Phyllodocidae.spp","Pontogeneia.spp"
"AK.A.L4.2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,10,0,0,1,0,0
"AK.A.L4.2021",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,0,85,0,10,0,0,4,0,0
"AK.A.L5.2019",0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,79,0,0,130,0,24,0,0,7,0,0
"AK.A.L5.2021",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,114,0,0,62,1,5,0,0,2,1,0
"AK.A.L6.2019",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,0,169,0,11,0,0,2,0,0
"AK.A.L6.2021",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,123,0,0,273,0,21,0,0,3,0,0
"AK.A.U1.2019",0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,146,5,12,0,0,12,0,0
"AK.A.U1.2021",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,248,2,5,0,0,5,0,0
"AK.A.U2.2019",0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,236,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,99,0,10,0,0,18,0,0
"AK.A.U2.2021",0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,115,0,6,0,0,5,1,0
