"","Seagrass.WetMass.g","Macroalgae.WetMass.g","macrophyte_wet_mass_g","Acteocina.inculta","Acteocina.sp.","Alciopidae","Alia.carinata","Allorchestes.angusta","Alvania.compacta","Americhelidium.shoemakeri","Americhelidium.sp.","Americorophium.brevis","Americorophium.spinicorne","Ampelisca.abdita","Amphilochidae","Amphipholis.pugetana","Amphipholis.sp.","Amphipholis.squamata","amphipod.A","amphipod.C","Ampithoe.lacertosa","Ampithoe.plumulosa","Ampithoe.sectimana","Ampithoe.sp.","Ampithoe.valida","Angustassiminea.californica","Anisogammarus.pugettensis","Anobothrus.sp.","Anoplodactylus.viridintestinalis","Aoridae","Aoroides.columbiae","Aoroides.sp.","Aphelochaeta.monilaris","Apolochus.barnardi","Arcuatula.senhousia","Armandia.brevis","Asteroidea","Astyris.gausapata","Astyris.sp.","Axiothella.rubrocincta","BB_bivalves","Bemlos.macromanus","Bemlos.sp.","Bivalve","bivalve.P","Boccardiella.sp.","Brachyura","brown.shiny.worms","Caecum.californicum","Calliopius.carinatus","Calliopius.sp.","Cancer.branneri","Cancer.sp.","Capitella.sp.","Caprella.californica","Caprella.laeviuscula","Caprella.mutica","Caprella.penantis","Caprella.sp.","Carcinus.maenas","Cardiidae","caridea","Caridea","Cephalophoxoides.homilis","Cerithiidae","Chione.undatella","Cirratulidae","Cirriformia.moorei","Cladonema.californicum","Cladonema.sp.","Corophiidae","crab","Crangon.franciscorum","Crangon.nigricauda","Crepidula.sp.","Crucibulum.sp.","Dasybranchus.glabrus","Decapoda","Dorvilleidae","Drilonereis.sp.","Elasmopus.sp.","Emprosthopharynx.gracilis","Eobrolgus.chumashi","Epiactis.prolifera","Erichsonella.crenulata","Ericthonius.brasiliensis","Ericthonius.sp.","Eulalia.sp.","Eumida.sanguinea","Eupolymnia.heterobranchia","Exogone.lourei","Exogone.sp.","Flabelligeridae","Gammaropsis.sp.","Gammarus.sp.","gastropod.A","gastropod.C.","gastropod.D","gastropod.E","gastropod.H","gastropod.I","gastropod.J","gastropod.K","Nassarius.tiarula","gastropod.O","gastropod.Q","gastropod.R","gastropod.S","gastropod.T","gastropod.U","Glyceridae","Gnorimosphaeroma.oregonense","Gnorimosphaeroma.sp.","Grandidierella.japonica","Granulina.margaritula","Haloa.japonica","Halobisium.occidentale","Haminoea.sp.","Haminoea.vesicula","Harmothoe.imbricata","Harmothoe.praeclara","Hemigrapsus.oregonensis","Hemipodia.sp.","Heptacarpus.paludicola","Heptacarpus.sitchensis","Heptacarpus.sp.","Heptacarpus.stimpsoni","Heptacarpus.tenuissimus","Hermissenda.opalescens","hermit.crab","Heterophoxus.sp.","Hippolyte.californiensis","Hippolyte.clarki","Hippolyte.sp.","Hourstonius.vilordes","Ianiropsis.analoga","Idotea.aculeata","Idotea.ochotensis","Idotea.resecata","Idotea.sp.","Incisocalliope.derzhavini","Ischyroceridae","Ischyrocerus.anguipes","Ischyrocerus.sp.","Janiralata.occidentalis","Jassa.sp.","Joeropsis.dubia","Joeropsis.sp.","Juvenile.Sea.Star","juvenile.shrimp","Lacuna.marmorata","Lacuna.sp.","Lacuna.variegata","Lacuna.vincta","Lepidonotus.sp.","Leptochelia.sp.","Leptopecten.latiauratus","Leucothoe.sp.","limpet","Lirularia.sp.","Lirularia.succincta","Listriella.diffusa","Littorinidae","Lottia.pelta","Lottia.sp.","Lumbrinereidae","Maera.jerrica","Maera.sp.","Maldanid","Maldanidae","Marenzelleria.viridis","Mayerella.acanthopoda","Megamoera.dentata","Megamoera.sp.","Megamoera.subtener","Megasyllis.nipponica","Melita.nitida","Metaphoxus.frequens","Mitrella.aurantiaca","Monocorophium.acherusicum","Monocorophium.insidiosum","Monocorophium.sp.","Mysida","Mytilidae","Mytilus.sp.","Nasageneia.quinsana","Naticidae","Neanthes.biseriata","Nebalia.sp.","Nemertean","Nephtys.sp.","Nereid.A","Nereid.B","Nereididae","Nereiphylla.sp.","Nereis.procera","Nereis.sp.","Nudibranchia","Odontosyllis.phosphorea","Oedicerotidae","Oligochinus.lighti","Omalogyroidea","Opheliidae","Oxydromus.pugettensis","Pandalus.danae","Pandalus.stenolepis","Paracalliopiella.sp.","Paracerceis.cordata","Paracerceis.sculpta","Paracerceis.sp.","Paracorophium.sp.","Paradexamine.sp.","Paramicrodeutopus.schmitti","Paranaitis.polynoides","Paranthura.elegans","Paranthura.japonica","Paraonidae","Pentidotea.resecata","Pentidotea.schmitti","Pentidotea.sp.","Perotripus.brevis","Photis.brevipes","Photis.sp.","Phoxocephalidae","Phoxocephalidae.A","Phyllaplysia.taylori","Phyllodoce.sp.","Phyllodocidae","Phyllodocidae.B","Phyllodocidae.C","Pinnixa.sp.","Pinnotheridae","Platynereis.bicanaliculata","Pleocyemata","Podocerus.fulanus","Podocerus.sp.","Polycheria.osborni","Polycirrus.sp.","Polydora.sp.","Polynoid..unknown.","Polynoid.A","Polynoid.B","Polynoid.C","Polynoidae","Pontogeneia.rostrata","Pontogeneia.sp.","Prionospio.lighti","Prionospio.steenstrupi","Protohyale.frequens","Protohyale.sp.","Pseudopolydora.kempi","Pseudopolydora.paucibranchiata","Pugettia.gracilis","Pugettia.producta","Pugettia.richii","Pugettia.sp.","Pyramidellidae","Resupinus.sp.","Rhynchospio.glutaea","ribbed.Macoma","Rissoidae","Romaleon.antennarium","Schistomeringos.longicornis","Scolelepis.sp.","Scyphoproctus.oculatus","sea.urchin","Sphaerosyllis.bilineata","Syllidae","Syllis.sp.","Tectura.depicta","Tellinidae","Terebellidae","Tubificida","Unid.annelid..2","Unid.Annelid..2","Unid.annelid..8","Unid.caenogastropod","Unid.polychaete","Unidentified.isopod","unknown","unknown.amphipod","unknown.amphipod.B","unknown.bivalve","unknown.crab","unknown.gastropod","unknown.gastropod.C","unknown.limpet","unknown.polychaete.A","unknown.worm","unknown.worm.A","unknown.worms","Uromunna.ubiquita","Urothoe.sp.","Veneridae","Volvarina.taeniolata","worm","worm.A","worm.C","worm.E","worm.H","worm.I","worm.J","worm.L","worm.O","Zeuxo.normani","Zygonemertes","Zygonemertes.sp.","richness_sample_all","richness_sample_large","richness_site_all","richness_site_large","epifauna_abundance_total","epifauna_abundance_large","mollusca_abundance_all","mollusca_abundance_large","crustacea_abundance_all","crustacea_abundance_large","amphipod_abundance_all","amphipod_abundance_large","gastropod_abundance_all","gastropod_abundance_large","isopod_abundance_all","isopod_abundance_large","ampithoid_abundance_all","ampithoid_abundance_large","idoteid_abundance_all","idoteid_abundance_large","lacuna_abundance_all","lacuna_abundance_large","region","site","year","site.unique.no.year","simpsons","shannon","invsimpsons"
"AK.A.L4.2019",96.558,0,96.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,58,58,25,23,5,4,14,13,2,1,5,4,10,10,0,0,10,10,3,2,"AK","A","2019","AK.A",0.8544,2.11216523587781,6.86813186813187
"AK.A.L4.2021",78.2415,1.1688,79.4103,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,60,56,191,108,107,40,68,56,40,33,107,40,10,10,0,0,10,10,85,33,"AK","A","2021","AK.A",0.739234121871659,1.7581602667326,3.83485756333438
"AK.A.L5.2019",120.2,0,120.2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,58,58,355,125,163,22,179,96,100,63,163,22,24,23,4,2,24,23,130,18,"AK","A","2019","AK.A",0.782130529656814,1.86088510220755,4.58990421386167
"AK.A.L5.2021",76.5359,0.42282,76.95872,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,60,56,245,122,93,18,135,96,125,89,93,18,5,5,0,0,5,5,62,14,"AK","A","2021","AK.A",0.70240733027905,1.62707013293333,3.36029782231428
"AK.A.L6.2019",80.329,0.934,81.263,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,58,58,318,109,194,35,117,70,74,52,194,35,11,9,0,0,11,9,169,30,"AK","A","2019","AK.A",0.654938491357146,1.46235469635274,2.89803404596779
"AK.A.L6.2021",58.9228,0.7958,59.7186,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,60,56,464,257,285,124,155,129,129,108,285,124,21,17,2,1,21,17,273,115,"AK","A","2021","AK.A",0.579063243162901,1.20728582157329,2.37565378588926
"AK.A.U1.2019",43.95,0.316,44.266,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,58,58,523,88,212,22,276,49,12,6,212,22,12,12,0,0,12,12,146,17,"AK","A","2019","AK.A",0.67312789503124,1.43127604183661,3.05930051784496
"AK.A.U1.2021",56.0191,0.2136,56.2327,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,60,56,473,132,287,62,139,51,7,5,287,62,5,5,0,0,5,5,248,48,"AK","A","2021","AK.A",0.643644766659664,1.41055590208618,2.80618861866118
"AK.A.U2.2019",41.165,3.631,44.796,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,93,0,236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,58,58,482,138,175,29,254,70,8,2,175,29,10,10,0,0,10,10,99,21,"AK","A","2019","AK.A",0.695158485563265,1.62235383732431,3.28039309818983
"AK.A.U2.2021",60.207,0.3858,60.5928,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,60,56,284,148,166,78,90,57,21,19,166,78,6,6,0,0,6,6,115,58,"AK","A","2021","AK.A",0.749057726641539,1.69912062315085,3.98498023715415
