"","Year","Region","SiteCode","TidalHeight","Transect","LongestBladeLengthMean","LongestBladeLengthSe","LongestBladeWidthMean","SheathLengthMean","SheathLengthSe","EpiphyteBladeAreaMean","EpiphyteDryMassMean","EpiphytePerAreaMean","EpiphytePerAreaSe","DensityShootsMean","DensityShootsSd","DensityShootsSe","PercentSeagrassMean","PercentBareMean","PercentOtherMean","PrevalenceMean","SeverityMean","LesionAreaMean","CountBlades","Percent","CountBrokenTip","BladeAreaMean","Meadow","TempAnomTot_January","TempAnomTot_February","TempAnomTot_March","TempAnomTot_April","TempAnomTot_May","TempAnomTot_June","TempAnomTot_July","TempAnomTot_August","TempAnomTot_September","TempAnomWarm_January","TempAnomWarm_February","TempAnomWarm_March","TempAnomWarm_April","TempAnomWarm_May","TempAnomWarm_June","TempAnomWarm_July","TempAnomWarm_August","TempAnomWarm_September","TempAnomCold_January","TempAnomCold_February","TempAnomCold_March","TempAnomCold_April","TempAnomCold_May","TempAnomCold_June","TempAnomCold_July","TempAnomCold_August","TempAnomCold_September","year","region","site_unique_code","epifauna_per_g_transect_all","epifauna_per_g_transect_large","ampithoid_per_g_transect_all","ampithoid_per_g_transect_large","lacuna_per_g_transect_all","lacuna_per_g_transect_large","idoteid_per_g_transect_all","idoteid_per_g_transect_large","epifauna_log_per_g_transect_all","epifauna_log_per_g_transect_large","ampithoid_log_per_g_transect_all","ampithoid_log_per_g_transect_large","lacuna_log_per_g_transect_all","lacuna_log_per_g_transect_large","idoteid_log_per_g_transect_all","idoteid_log_per_g_transect_large","richness_site_all","richness_site_large","GrazingScarsMeanTransect","Salinity","TransectBeginDecimalLatitude","TransectBeginDecimalLongitude","TransectEndDecimalLatitude","TransectEndDecimalLongitude","CanopyHeight","Structure","StructureLog","EpiphytePerAreaMeanMg","DensityLog","Seagrass.WetMass.g","Macroalgae.WetMass.g","macrophyte_wet_mass_g","richness_sample_all","richness_sample_large","richness_site_all","richness_site_large","epifauna_abundance_total","epifauna_abundance_large","mollusca_abundance_all","mollusca_abundance_large","crustacea_abundance_all","crustacea_abundance_large","amphipod_abundance_all","amphipod_abundance_large","gastropod_abundance_all","gastropod_abundance_large","isopod_abundance_all","isopod_abundance_large","ampithoid_abundance_all","ampithoid_abundance_large","idoteid_abundance_all","idoteid_abundance_large","lacuna_abundance_all","lacuna_abundance_large","region","site","year","site.unique.no.year","simpsons","shannon","simpsons.sqrt","shannon.sqrt","abundance","richness"
"AK.A.L4.2019",2019,"AK","A","L",4,232.2,23.9027195105494,2.2,16,5.7706152185014,16.8917421738,0.0032,0.00023338674880662,9.64699860083151e-05,900,122.941720610485,30.7354301526214,1,0,0,1,0.307452347878686,6.03022457005,20,1,5,20.34997855255,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",0.258385288992333,0.235375095476605,0,0,0.0345152902735912,0.0230101935157275,0.100429902601507,0.100429902601507,-0.571325135046903,-0.613073917736604,-2,-2,-1.55110241389239,-1.62582694753269,-0.975219549530095,-0.975219549530095,29,29,0.4,31.9,55.496559,-133.168591,55.49661,-133.168829,248.2,2233.8,3.34904428660204,0.23338674880662,2.95424250943932,96.558,0,96.558,12,11,58,58,25,23,5,4,14,13,2,1,5,4,10,10,0,0,10,10,3,2,"AK","A","2019","AK.A",0.8544,2.11216523587781,0.890130888577381,2.25632422193767,25,10
"AK.A.L5.2019",2019,"AK","A","L",5,752.2,86.2834862531643,5.4,71.4,12.9946142689962,27.965931264,0.00860000000000001,0.00033433037502867,7.82158941370939e-05,542,147.603071332092,36.900767833023,0.9825,0.0175,0,0.7,0.0210143473404218,0.50444156832,20,1,11,29.24446766394,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",3.04854807647776,1.06724243716689,0.0349729082522285,0.0167636105848395,1.11276568133536,0.149426808181006,0.204054701183173,0.194950052349478,0.455251593744871,0.012688792156874,-1.39307595969667,-1.57308982155548,0.0264283216848709,-0.797558979337549,-0.682101846673586,-0.697564609960053,29,29,0.6,31.8,55.496683,-133.169187,55.496747,-133.169413,823.6,4463.912,3.64971562448438,0.33433037502867,2.73399928653839,78.2415,1.1688,79.4103,24,22,60,56,191,108,107,40,68,56,40,33,107,40,10,10,0,0,10,10,85,33,"AK","A","2021","AK.A",0.739234121871659,1.7581602667326,0.885542748196838,2.41459691780991,191,15
"AK.A.L6.2019",2019,"AK","A","L",6,464.8,58.880726897687,2.4,110.4,13.4260939963937,10.6762666502,0.0044,0.00049405861589479,0.00011781949353776,545,111.349300252254,27.8373250630636,0.985,0.015,0,0.8,0.246129191236944,2.39704868926,20,1,7,12.1699859871,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",3.95447835303432,1.3904933491865,0,0,2.11548116922084,0.398339446944327,0.135269997528176,0.112537558337451,0.594716243447669,0.103078949957464,-2,-2,0.318240842020675,-0.687237579509314,-0.837837085754952,-0.918590053258503,29,29,0.4,32,55.496866,-133.169731,55.496945,-133.169942,575.2,3134.84,3.49621537965147,0.49405861589479,2.73639650227664,120.2,0,120.2,25,22,58,58,355,125,163,22,179,96,100,63,163,22,24,23,4,2,24,23,130,18,"AK","A","2019","AK.A",0.782130529656814,1.86088510220755,0.892059312307401,2.45929778945507,355,16
"AK.A.U1.2019",2019,"AK","A","U",1,192.6,18.8138247041903,2.2,42,8.16700679563817,3.7112044826,0.0044,0.00093283407616048,0.00034858362611477,520,149.63065639545,37.4076640988626,0.4875,0.5125,0,0.45,0.0629562773643372,0.12453443072,20,1,4,3.60980196645,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",11.7381616859083,1.97711585543771,0,0,3.27950496999901,0.382553411609938,0.271765022370336,0.271765022370336,1.01506032222215,0.261283566193764,-2,-2,0.47673612400003,-0.423082611731353,-0.556764417330581,-0.556764417330581,29,29,0.4,31.9,55.496496,-133.168632,55.496536,-133.168877,234.6,1219.92,3.08633135141431,0.93283407616048,2.7160033436348,76.5359,0.42282,76.95872,24,20,60,56,245,122,93,18,135,96,125,89,93,18,5,5,0,0,5,5,62,14,"AK","A","2021","AK.A",0.70240733027905,1.62707013293333,0.877636347140547,2.38837450542959,245,15
"AK.A.U2.2019",2019,"AK","A","U",2,229.8,17.2261429228948,2.2,40.4,9.95791142760368,5.226,0.00199999999999998,0.00041980478846893,0.00013254004449391,733,327.143189852191,81.7857974630477,0.55,0.45,0,0.4,0.0297434438287951,0.06467621376,20,1,3,5.896,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",9.75757928610721,2.91859911041295,0,0,1.98704854523684,0.444003369158708,0.209129683755546,0.209129683755546,0.792729109287569,0.425308559675415,-2,-2,0.0344849996455296,-0.383104618415454,-0.717375965971435,-0.717375965971435,29,29,0.4,31.9,55.496591,-133.169246,55.496646,-133.169482,270.2,1980.566,3.29678931932714,0.41980478846893,2.86510397464113,80.329,0.934,81.263,19,17,58,58,318,109,194,35,117,70,74,52,194,35,11,9,0,0,11,9,169,30,"AK","A","2019","AK.A",0.654938491357146,1.46235469635274,0.856197955034728,2.24793364873578,318,14
"AK.A.U3.2019",2019,"AK","A","U",3,241.8,38.3658702494808,1.68,26.4,10.4383906805599,3.81527687552,0.00080000000000002,0.00021668774939865,7.89725305562889e-05,753,77.7260145210941,19.4315036302735,0.8475,0.11,0.0275,0.4,0.10755979422707,0.24219692383,20,1,1,3.82249012703,"AK_A",5.51065656565658,4.07788888888888,16.7839797979798,4.19529292929294,3.71052525252524,11.9477979797982,6.431484848485,6.9790101010099,14.7050101010099,12.1996868686869,4.70212121212119,16.8496666666667,9.39586868686869,6.76894949494949,16.6684747474749,12.7590707070708,14.5062121212121,14.8249393939392,-6.6890303030303,-0.624232323232311,-0.0656868686868695,-5.20057575757575,-3.05842424242425,-4.7206767676767,-6.3275858585858,-7.5272020202022,-0.119929292929299,2019,"AK","AK.A.2019",6.47448105979351,3.21090133585422,0,0,3.40614156013574,1.68205593884907,0.360664072750115,0.360664072750115,0.618673505245686,0.411659495144256,-2,-2,0.253817034468025,0.0552288801535374,-0.438237538995059,-0.438237538995059,29,29,0,31.9,55.496769,-133.169794,55.496878,-133.169961,268.2,2019.546,3.30525374971628,0.21668774939865,2.8767949762007,58.9228,0.7958,59.7186,18,15,60,56,464,257,285,124,155,129,129,108,285,124,21,17,2,1,21,17,273,115,"AK","A","2021","AK.A",0.579063243162901,1.20728582157329,0.812145881252731,1.98330992358948,464,11
"AK.B.L4.2019",2019,"AK","B","L",4,511,124.765780565025,4.6,56.8,18.6745816552875,23.2013561818,0.0044,0.00039644599114785,0.00012858581287068,295,68.3032454084967,17.0758113521242,0.78,0.2075,0.0125,0.2,0.0258014635186824,0.08455674272,20,1,4,19.81057464885,"AK_B",15.9190808080808,6.49523232323231,13.2048181818182,5.43506060606062,1.18963636363633,9.2689393939391,9.6342323232323,3.03639393939389,11.6653838383839,15.9190808080808,6.88426262626262,13.3527474747475,8.85541414141415,6.14407070707067,12.9115252525251,15.3686161616161,11.5500707070706,11.7349797979799,0,-0.389030303030311,-0.14792929292929,-3.42035353535353,-4.95443434343434,-3.642585858586,-5.7343838383838,-8.5136767676767,-0.0695959595960005,2019,"AK","AK.B.2019",0.455753474000977,0.279821032058683,0,0,0.102210707041707,0.102210707041707,0,0,-0.510071785161546,-0.632946190475566,-2,-2,-0.995053742939557,-0.995053742939557,-2,-2,26,25,0.2,32.8,55.739951,-133.312189,55.739811,-133.31219,567.8,1675.01,3.224017404168,0.39644599114785,2.46982201597816,43.95,0.316,44.266,23,20,58,58,523,88,212,22,276,49,12,6,212,22,12,12,0,0,12,12,146,17,"AK","A","2019","AK.A",0.67312789503124,1.43127604183661,0.845334412095572,2.17301582659184,523,14
"AK.B.L5.2019",2019,"AK","B","L",5,723.2,85.1753485463957,5.6,226,35.9207460947013,36.202,0.003,9.28905378448602e-05,2.73233931337177e-05,240,42.8330090778907,10.7082522694727,0.6375,0.4125,0,0.05,0.0176006293564714,0.0121708352,20,1,3,30.78577441965,"AK_B",15.9190808080808,6.49523232323231,13.2048181818182,5.43506060606062,1.18963636363633,9.2689393939391,9.6342323232323,3.03639393939389,11.6653838383839,15.9190808080808,6.88426262626262,13.3527474747475,8.85541414141415,6.14407070707067,12.9115252525251,15.3686161616161,11.5500707070706,11.7349797979799,0,-0.389030303030311,-0.14792929292929,-3.42035353535353,-4.95443434343434,-3.642585858586,-5.7343838383838,-8.5136767676767,-0.0695959595960005,2019,"AK","AK.B.2019",0.339065815867354,0.223850680489676,0,0,0.0432485278835551,0.0192596587188475,0,0,-0.485964436407058,-0.915730676787614,-2,-2,-1.27541202376093,-1.65704265867528,-2,-2,26,25,0,32.6,55.739603,-133.31217,55.739463,-133.312171,949.2,2278.08,3.35756897125691,0.0928905378448602,2.38021124171161,56.0191,0.2136,56.2327,23,20,60,56,473,132,287,62,139,51,7,5,287,62,5,5,0,0,5,5,248,48,"AK","A","2021","AK.A",0.643644766659664,1.41055590208618,0.850883045764589,2.22554493280812,473,14
"AK.B.L6.2019",2019,"AK","B","L",6,713.2,114.887074991054,4.5,41,8.14861951498535,34.094,0.0052,0.00022020250422649,6.06219262983748e-05,240,44.7809483299911,11.1952370824978,0.68,0.3175,0.0025,0.1,0.00457726716269279,0.01530522976,20,1,2,33.40202820401,"AK_B",15.9190808080808,6.49523232323231,13.2048181818182,5.43506060606062,1.18963636363633,9.2689393939391,9.6342323232323,3.03639393939389,11.6653838383839,15.9190808080808,6.88426262626262,13.3527474747475,8.85541414141415,6.14407070707067,12.9115252525251,15.3686161616161,11.5500707070706,11.7349797979799,0,-0.389030303030311,-0.14792929292929,-3.42035353535353,-4.95443434343434,-3.642585858586,-5.7343838383838,-8.5136767676767,-0.0695959595960005,2019,"AK","AK.B.2019",1.32717101628488,0.580344664635228,0,0,0.166481687014428,0.110987791342952,0.0202249008979856,0.0202249008979856,-0.0537110871413109,-0.380567487370692,-2,-2,-1.23237612847202,-1.31727886286242,-1.64857026782637,-1.64857026782637,26,25,0.2,32.5,55.739255,-133.31221,55.739119,-133.312258,754.2,1810.08,3.25769776978121,0.22020250422649,2.38021124171161,41.165,3.631,44.796,25,21,58,58,482,138,175,29,254,70,8,2,175,29,10,10,0,0,10,10,99,21,"AK","A","2019","AK.A",0.695158485563265,1.62235383732431,0.883724897458243,2.48860845994285,482,18
"AK.B.U1.2019",2019,"AK","B","U",1,539.6,53.4907468633595,5.1,41.2,8.66256313108308,28.778,0.0034,0.00011837080373614,3.33880680881923e-05,139,94.9596405497269,23.7399101374317,0.25,0.7,0.05,0.65,0.0292393234694195,0.5810450208,20,1,5,27.32850384865,"AK_B",15.9190808080808,6.49523232323231,13.2048181818182,5.43506060606062,1.18963636363633,9.2689393939391,9.6342323232323,3.03639393939389,11.6653838383839,15.9190808080808,6.88426262626262,13.3527474747475,8.85541414141415,6.14407070707067,12.9115252525251,15.3686161616161,11.5500707070706,11.7349797979799,0,-0.389030303030311,-0.14792929292929,-3.42035353535353,-4.95443434343434,-3.642585858586,-5.7343838383838,-8.5136767676767,-0.0695959595960005,2019,"AK","AK.B.2019",2.19321615803915,1.24998999626729,0,0,0.593576828465907,0.339247653363388,0.0370452693191079,0.0370452693191079,0.325007895872693,0.0584030567481199,-2,-2,-0.219267874509285,-0.460165662198418,-1.53762643282855,-1.53762643282855,26,25,1,32.8,55.739933,-133.312145,55.739794,-133.312141,580.8,807.312,2.90704140794613,0.11837080373614,2.14301480025409,60.207,0.3858,60.5928,22,21,60,56,284,148,166,78,90,57,21,19,166,78,6,6,0,0,6,6,115,58,"AK","A","2021","AK.A",0.749057726641539,1.69912062315085,0.873163417053924,2.30459867540266,284,14
